"","District","Epiweek","Epiyear","DISTCODE","SQKM","Province","Region","u5total","XCOORD","YCOORD","cases","IRSyear","IRSepiWeek","raint","tavg","rh","sd","psfc"
"80","MAVAGO",32,2013,109,9194990.718,"NIASSA","Northern",5006,36.406514,-12.234798,33,2012,48,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"81","MECANHELAS",20,2013,110,5011210.19,"NIASSA","Northern",45693,36.077344,-15.003118,814,2012,36,0,18.8371428571429,89.0328571428571,1.74571428571429,952.028571428571
"82","MECONTA",44,2016,307,3677327.074,"NAMPULA","Northern",33163,39.646605,-15.281907,466,2016,36,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"83","MECONTA",48,2014,307,3677327.074,"NAMPULA","Northern",33611,39.646605,-15.281907,486,2015,42,0,24.1214285714286,64.9614285714286,7.81571428571429,945.578571428571
"84","MECUBURI",44,2016,308,7189766.948,"NAMPULA","Northern",32150,38.915932,-14.476192,625,2016,42,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"85","MECUBURI",48,2014,308,7189766.948,"NAMPULA","Northern",34055,38.915932,-14.476192,709,2015,50,0,24.1214285714286,64.9614285714286,7.81571428571429,945.578571428571
"86","MECUFI",48,2015,207,1234915.879,"CABO DELGADO","Coastal",8423,40.403318,-13.238502,1141,NA,NA,8.18,24.3785714285714,64.8171428571429,8.29857142857143,946.595714285714
"87","MECULA",32,2013,111,18016209.02,"NIASSA","Northern",2820,37.565232,-11.958364,190,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"88","MELUCO",20,2015,208,5729184.505,"CABO DELGADO","Northern",3909,39.623914,-12.465315,165,NA,NA,0,18.1514285714286,78.2114285714286,3.28714285714286,950.848571428571
"89","MEMBA",44,2016,309,4449776.638,"NAMPULA","Coastal",45790,40.394368,-13.96591,713,2016,44,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"90","MEMBA",48,2014,309,4449776.638,"NAMPULA","Coastal",50932,40.394368,-13.96591,809,2015,27,0,24.1214285714286,64.9614285714286,7.81571428571429,945.578571428571
"91","METARICA",32,2013,112,4859558.222,"NIASSA","Northern",8873,36.862712,-14.322469,227,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"92","MOAMBA",16,2013,1007,4580042.097,"MAPUTO","Southern",7759,32.253863,-25.345616,69,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
